Id	StctNo	TakenDate	InitType	HSISType	ChildType	ParentType	StctAdjoin	Location	StairIndp	Council1	Council2	ExitCnt	FacilityProvision	Status	InRegion	InvgORPorUAP	InvgStatusORPorUAP	InvgRemarksORPorUAP	InvgAgreeNo	DCInAgreeNo	ConnectAdjoin	BSNote1	BSNote2	BSNote3	BSInChecked	FollowupRegion	WidthNotAcpt	ToNonBFAPath	WideEnough	Gradlt10	WithSteps	StepsForBFA	AlterMeans	AlterDetail	AlterDist	Remarks	AtMainForBFA	ExitAToBuild	AtExitForA	ReasonAwNoBFA	DescAwBFA	AlterMeansAwBFA	AlterDetailAwBFA	AlterDistA	RemarksA	ExitAwBFA	ExitBToBuild	AtExitForB	ReasonBwNoBFA	DescBwBFA	AlterMeansBwBFA	AlterDetailBwBFA	AlterDistB	RemarksB	ExitBwBFA	ExitCToBuild	AtExitForC	ReasonCwNoBFA	DescCwBFA	AlterMeansCwBFA	AlterDetailCwBFA	AlterDistC	RemarksC	ExitCwBFA	ExitDToBuild	AtExitForD	ReasonDwNoBFA	DescDwBFA	AlterMeansDwBFA	AlterDetailDwBFA	AlterDistD	RemarksD	ExitDwBFA	ExitEToBuild	AtExitForE	ReasonEwNoBFA	DescEwBFA	AlterMeansEwBFA	AlterDetailEwBFA	AlterDistE	RemarksE	ExitEwBFA	ExitFToBuild	AtExitForF	ReasonFwNoBFA	DescFwBFA	AlterMeansFwBFA	AlterDetailFwBFA	AlterDistF	RemarksF	ExitFwBFA	ExitGToBuild	AtExitForG	ReasonGwNoBFA	DescGwBFA	AlterMeansGwBFA	AlterDetailGwBFA	AlterDistG	RemarksG	ExitGwBFA	ExitHToBuild	AtExitForH	ReasonHwNoBFA	DescHwBFA	AlterMeansHwBFA	AlterDetailHwBFA	AlterDistH	RemarksH	ExitHwBFA	ExitJToBuild	AtExitForJ	ReasonJwNoBFA	DescJwBFA	AlterMeansJwBFA	AlterDetailJwBFA	AlterDistJ	RemarksJ	ExitJwBFA	ExitKToBuild	AtExitForK	ReasonKwNoBFA	DescKwBFA	AlterMeansKwBFA	AlterDetailKwBFA	AlterDistK	RemarksK	ExitKwBFA	DraftedBy	DraftedByPost	DraftedAt	EndorsedBy	EndorsedByPost	EndorsedAt	AuditedBy	AuditedByPost	AuditedAt
20	H126	1968-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	South Bay Road - bridge over open nullah	No	Southern	NULL	2	No	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	NULL	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	NULL	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2017-01-04 00:00:00.000	Wing Hong CHI	NULL	2017-01-05 00:00:00.000	NULL	NULL	NULL
21	H13	1972-01-01 00:00:00.000	Parent	Culvert	NULL	NULL	NULL	Island Road near Deep Water Bay	No	Southern	NULL	4	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2017-01-23 00:00:00.000	Wing Hong CHI	NULL	2017-01-24 00:00:00.000	NULL	NULL	NULL
22	H131	1984-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Broadwood Road Improvement near Tai Hang Road	No	Wan Chai	NULL	6	No	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	NULL	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	NULL	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2017-01-11 00:00:00.000	Wing Hong CHI	NULL	2017-01-13 00:00:00.000	NULL	NULL	NULL
23	H133	1980-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Sha Wan Drive near Stanley Ho Sports Centre	No	Southern	NULL	4	No	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	NULL	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	NULL	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2017-01-04 00:00:00.000	Wing Hong CHI	NULL	2017-01-05 00:00:00.000	NULL	NULL	NULL
24	H135	1984-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Pak Fuk Road near Tin Hau Temple Road	No	Eastern	NULL	4	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2016-12-30 00:00:00.000	Wing Hong CHI	NULL	2016-12-30 00:00:00.000	NULL	NULL	NULL
25	H136	1984-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Pak Fuk Road near Healthy Village Estate	No	Eastern	NULL	2	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2016-12-30 00:00:00.000	Wing Hong CHI	NULL	2016-12-30 00:00:00.000	NULL	NULL	NULL
26	H137	1984-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Peak Road opposite house no.40 near GuildfoRoad Road	No	Central & Western	NULL	2	No	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	NULL	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	Footway is 1.8m wide only.	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	Connecting to at-grade footpath which is only 1.7m wide.	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	Connecting to at-grade footpath which is only 1.9m wide.	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2017-06-12 00:00:00.000	Ka Hung NG	NULL	2017-06-12 00:00:00.000	NULL	NULL	NULL
27	H139	1976-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Shouson Hill Road near house no.23A and Shouson Villa	No	Southern	NULL	2	No	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	NULL	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	NULL	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2016-12-30 00:00:00.000	Wing Hong CHI	NULL	2017-01-03 00:00:00.000	NULL	NULL	NULL
28	H141	1966-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Hornsey Road Bridge near Glenealy	No	Central & Western	NULL	2	No	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	NULL	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	NULL	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2017-04-21 00:00:00.000	Ka Hung NG	NULL	2017-04-21 00:00:00.000	NULL	NULL	NULL
29	H142	1984-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Tai Tam Reservoir Road near Petrol Station	No	Southern	NULL	4	No	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	NULL	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	NULL	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2016-12-30 00:00:00.000	Wing Hong CHI	NULL	2016-12-30 00:00:00.000	NULL	NULL	NULL
30	H143	1984-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Guildford Road Driveway near Watford  Road	No	Central & Western	NULL	3	No	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	NULL	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes, but exit solely connects to at-grade non-BFA footpath or staircase	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chi Wai CHENG	MIOW/STR(HS)	2018-08-08 00:00:00.000	Sau Lai LAM	NULL	2018-08-09 00:00:00.000	NULL	NULL	NULL
31	H149	1980-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Tai Hang Drive extension near Tiger Balm Garden	No	Wan Chai	NULL	4	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2016-12-30 00:00:00.000	Wing Hong CHI	NULL	2016-12-30 00:00:00.000	NULL	NULL	NULL
32	H150	1985-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Ka Ning Path near Eastern Hospital Road	No	Wan Chai	NULL	2	Yes (with alternative BFA means)	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	Yes	No	No	Yes	Yes / N.A.	Yes	Others (please specify in Remarks)	NULL	NULL	NULL	"Alternative BFA route 513m" Alt. detour is 195m in the third photo..	Yes	No	No	Staircase only	NULL	Yes	Alternative BFA route (extra distance less than 200m)	195m	Alt. detour is 195m in the third photo..	Yes (with alternative BFA means)	No	No	Staircase only	NULL	Yes	Alternative BFA route (extra distance less than 200m)	195m	Alt. detour is 195m in the third photo..	Yes (with alternative BFA means)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2017-01-13 00:00:00.000	Wing Hong CHI	NULL	2017-01-13 00:00:00.000	NULL	NULL	NULL
33	H151	1976-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Tregunter Path Fronting Century Tower near May Road	No	Central & Western	NULL	2	No	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	NULL	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	NULL	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2017-04-21 00:00:00.000	Ka Hung NG	NULL	2017-04-21 00:00:00.000	NULL	NULL	NULL
34	H156	1984-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Pier Road extension near Rumsey Street	No	Central & Western	NULL	2	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	N.A.	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	N.A.	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	N.A.	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Man Chung MAK	MWSII/STR(HN)1	2016-12-28 00:00:00.000	Ka Hung NG	NULL	2017-01-24 00:00:00.000	NULL	NULL	NULL
35	H157	1985-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Hong Shing Street at Kornhill	No	Eastern	NULL	4	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2016-12-30 00:00:00.000	Wing Hong CHI	NULL	2017-01-03 00:00:00.000	NULL	NULL	NULL
36	H16	1979-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Wong Chuk Hang Road near Aberdeen Praya Road	No	Southern	NULL	2	Yes (with alternative BFA means)	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	No	one steps at Exit	NULL	Yes	Nearby grade-separate walkway within 100m	29.5m	NULL	Yes (with alternative BFA means)	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2016-10-26 00:00:00.000	Wing Hong CHI	NULL	2016-11-21 00:00:00.000	NULL	NULL	NULL
37	H161	1962-01-01 00:00:00.000	Parent	Bridge	NULL	NULL	NULL	Bowen Road fronting house no. 6B & 6C	No	Central & Western	NULL	2	No	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	NULL	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	Walkway clear width <2m	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	N.A.	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	N.A.	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Man Chung MAK	MWSII/STR(HN)1	2016-12-28 00:00:00.000	Ka Hung NG	NULL	2017-01-26 00:00:00.000	NULL	NULL	NULL
38	H162	1987-01-01 00:00:00.000	Parent	Bridge	H162A	NULL	NULL	King's Road Flyover across Kornhill Road	No	Eastern	NULL	2	Yes	Endorsed	Urban	Yes	Retrofitting works completed	Retrofitting works completed as per LegCo paper no. CB(4)179/18-19(03).	CE 48/2010 (HY)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Ying Yeung YU	MAIOW/CWB	2018-02-08 00:00:00.000	Wing Hong CHI	NULL	2018-02-08 00:00:00.000	NULL	NULL	NULL
